scheme,type,base,letters,has_star,parent,level,observed_count
ATU,1000,1000,,False,,0,1
ATU,1060,1060,,False,,0,1
ATU,1168,1168,,False,,0,1
ATU,1174,1174,,False,,0,1
ATU,1651,1651,,False,,0,0
ATU,300,300,,False,,0,4
ATU,301,301,,False,,0,4
ATU,302,302,,False,,0,1
ATU,303,303,,False,,0,2
ATU,307,307,,False,,0,4
ATU,312,312,,False,,0,1
ATU,313,313,,False,,0,4
ATU,314,314,,False,,0,2
ATU,325,325,,False,,0,2
ATU,326,326,,False,,0,2
ATU,327,327,,False,,0,0
ATU,328,328,,False,,0,1
ATU,329,329,,False,,0,1
ATU,330,330,,False,,0,0
ATU,331,331,,False,,0,2
ATU,361,361,,False,,0,1
ATU,363,363,,False,,0,1
ATU,365,365,,False,,0,1
ATU,402,402,,False,,0,3
ATU,407,407,,False,,0,1
ATU,410,410,,False,,0,3
ATU,425,425,,False,,0,0
ATU,449,449,,False,,0,1
ATU,450,450,,False,,0,1
ATU,461,461,,False,,0,1
ATU,465,465,,False,,0,0
ATU,470,470,,False,,0,1
ATU,476,476,,False,,0,0
ATU,480,480,,False,,0,1
ATU,502,502,,False,,0,1
ATU,511,511,,False,,0,1
ATU,513,513,,False,,0,0
ATU,530,530,,False,,0,4
ATU,531,531,,False,,0,1
ATU,550,550,,False,,0,3
ATU,551,551,,False,,0,1
ATU,552,552,,False,,0,4
ATU,554,554,,False,,0,2
ATU,556,556,,False,,0,1
ATU,567,567,,False,,0,1
ATU,580,580,,False,,0,1
ATU,592,592,,False,,0,1
ATU,613,613,,False,,0,1
ATU,650,650,,False,,0,0
ATU,671,671,,False,,0,1
ATU,677,677,,False,,0,1
ATU,700,700,,False,,0,2
ATU,703,703,,False,,0,1
ATU,706,706,,False,,0,3
ATU,707,707,,False,,0,7
ATU,709,709,,False,,0,1
ATU,735,735,,False,,0,0
ATU,737,737,,False,,0,1
ATU,740,740,,False,,0,0
ATU,809,809,,False,,0,0
ATU,849,849,,False,,0,0
ATU,935,935,,False,,0,1
ATU,1651A,1651,A,False,1651,1,1
ATU,300A,300,A,False,300,1,1
ATU,301A,301,A,False,301,1,1
ATU,301D,301,D,False,301,1,0
ATU,302C,302,C,False,302,1,0
ATU,312D,312,D,False,312,1,1
ATU,313A,313,A,False,313,1,1
ATU,327A,327,A,False,327,1,1
ATU,330B,330,B,False,330,1,1
ATU,425A,425,A,False,425,1,1
ATU,425C,425,C,False,425,1,2
ATU,465B,465,B,False,465,1,1
ATU,476*,476,,True,476,1,1
ATU,480A,480,A,False,480,1,3
ATU,480D,480,D,False,480,1,0
ATU,513A,513,A,False,513,1,1
ATU,530A,530,A,False,530,1,3
ATU,556F,556,F,False,556,1,0
ATU,650A,650,A,False,650,1,3
ATU,671E,671,E,False,671,1,0
ATU,703*,703,,True,703,1,3
ATU,735A,735,A,False,735,1,2
ATU,740*,740,,True,740,1,1
ATU,809*,809,,True,809,1,1
ATU,849*,849,,True,849,1,1
ATU,301D*,301,D,True,301D,2,1
ATU,302C*,302,C,True,302C,2,1
ATU,480D*,480,D,True,480D,2,5
ATU,556F*,556,F,True,556F,2,2
ATU,671E*,671,E,True,671E,2,1
